"country_code"	"meteorite_class"	"count"	"average_mass"	"max_mass"	"min_mass"	
"MEX"	"Iron, IAB-MG"	"3"	"41569.33"	"85000.0"	"11138.0"	
"MEX"	"Howardite"	"1"	"148.0"	"148.0"	"148.0"	
"MEX"	"H5-6"	"1"	"16.8"	"16.8"	"16.8"	
"MEX"	"Pallasite, PMG"	"2"	"5015.5"	"8400.0"	"1631.0"	
"MEX"	"L"	"1"	"66.0"	"66.0"	"66.0"	
"MEX"	"Eucrite-mmict"	"1"	"155.0"	"155.0"	"155.0"	
"MEX"	"Iron, IVB"	"2"	"67000.0"	"71000.0"	"63000.0"	
"MEX"	"Iron, IAB?"	"1"	"405.0"	"405.0"	"405.0"	
"MEX"	"Iron, IAB-sHL"	"1"	"10000.0"	"10000.0"	"10000.0"	
"MEX"	"Iron, IIE"	"1"	"2500.0"	"2500.0"	"2500.0"	
"MEX"	"L4"	"1"	"27.7"	"27.7"	"27.7"	
"ARG"	"L6"	"214"	"789.11"	"50000.0"	"0.1"	
"ARG"	"L"	"3"	"7296.67"	"20000.0"	"450.0"	
"ARG"	"H5"	"207"	"1220.96"	"160000.0"	"0.3"	
"ARG"	"H6"	"83"	"768.6"	"22000.0"	"0.4"	
"ARG"	"L5"	"134"	"3760.3"	"280000.0"	"0.2"	
"ARG"	"H4"	"19"	"320.31"	"3600.0"	"1.9"	
"ARG"	"Eucrite-cm"	"1"	"31.0"	"31.0"	"31.0"	
"ARG"	"CM2"	"18"	"254.21"	"4000.0"	"2.6"	
"ARG"	"Iron, IIIAB"	"5"	"65836.0"	"142000.0"	"5030.0"	
"ARG"	"H"	"2"	"707.55"	"1155.0"	"260.1"	
"ARG"	"Eucrite-mmict"	"2"	"11754.25"	"23500.0"	"8.5"	
"ARG"	"Iron"	"11"	"150848.11"	"997000.0"	"41.0"	
"ARG"	"Iron, IAB-MG"	"2"	"25000058.6"	"50000000.0"	"117.2"	
"ARG"	"Iron, IAB complex"	"2"	"7535.0"	"14000.0"	"1070.0"	
"ARG"	"Angrite"	"1"	"16550.0"	"16550.0"	"16550.0"	
"ARG"	"Pallasite, PMG"	"4"	"188762.55"	"755000.0"	"3.8"	
"ARG"	"Winonaite"	"1"	"312.0"	"312.0"	"312.0"	
"ARG"	"Iron, IVA"	"1"	"83000.0"	"83000.0"	"83000.0"	
"ARG"	"Lunar (basalt)"	"5"	"374.89"	"1226.3"	"59.0"	
"ARG"	"CV3"	"2"	"810.2"	"1284.6"	"335.8"	
"ARG"	"LL5"	"124"	"202.76"	"2920.4"	"3.2"	
"ARG"	"Diogenite"	"9"	"270.33"	"813.7"	"1.89"	
"ARG"	"EH-imp melt"	"1"	"313.5"	"313.5"	"313.5"	
"ARG"	"LL6"	"30"	"212.85"	"1402.3"	"4.9"	
"ARG"	"Aubrite"	"4"	"17.61"	"21.81"	"12.93"	
"ARG"	"R"	"1"	"26.6"	"26.6"	"26.6"	
"ARG"	"H-imp melt"	"1"	"28.16"	"28.16"	"28.16"	
"ARG"	"LL4"	"4"	"174.46"	"521.3"	"13.9"	
"ARG"	"L4"	"17"	"846.01"	"12300.0"	"1.21"	
"ARG"	"CM1"	"2"	"4.88"	"7.76"	"1.99"	
"ARG"	"CR2"	"2"	"40.16"	"42.42"	"37.9"	
"ARG"	"Ureilite"	"2"	"2695.16"	"5316.0"	"74.32"	
"ARG"	"Aubrite-an"	"1"	"62.02"	"62.02"	"62.02"	
"ARG"	"Eucrite-unbr"	"7"	"152.92"	"890.4"	"17.8"	
"ARG"	"L7"	"3"	"2851.83"	"8550.6"	"1.6"	
"ARG"	"CH3"	"4"	"20.75"	"46.9"	"7.2"	
"ARG"	"Pallasite"	"1"	"2.7"	"2.7"	"2.7"	
"ARG"	"EL4"	"1"	"0.75"	"0.75"	"0.75"	
"ARG"	"EH4"	"2"	"12.7"	"20.9"	"4.5"	
"ARG"	"Acapulcoite"	"1"	"29.0"	"29.0"	"29.0"	
"ARG"	"H-melt rock"	"1"	"7.0"	"7.0"	"7.0"	
"ARG"	"Diogenite-pm"	"1"	"14.2"	"14.2"	"14.2"	
"ARG"	"Lunar (anorth)"	"1"	"22.4"	"22.4"	"22.4"	
"ARG"	"Howardite"	"7"	"20.03"	"41.0"	"3.1"	
"ARG"	"CK4/5"	"1"	"90.9"	"90.9"	"90.9"	
"ARG"	"EH3"	"21"	"19.43"	"96.2"	"0.3"	
"ARG"	"H3.6"	"1"	"22.7"	"22.7"	"22.7"	
"ARG"	"R3.8-6"	"2"	"142.6"	"210.2"	"75.0"	
"ARG"	"Eucrite-br"	"5"	"76.24"	"223.6"	"3.7"	
"ARG"	"EL3"	"1"	"1748.6"	"1748.6"	"1748.6"	
"ARG"	"Eucrite-pmict"	"1"	"12.3"	"12.3"	"12.3"	
"ARG"	"LL3.5"	"1"	"3.2"	"3.2"	"3.2"	
"ARG"	"CK4"	"1"	"33.5"	"33.5"	"33.5"	
"ARG"	"Eucrite"	"1"	"62.7"	"62.7"	"62.7"	
"ARG"	"L/LL4"	"1"	"80000.0"	"80000.0"	"80000.0"	
"PAK"	"EH4"	"1"	"4239.0"	"4239.0"	"4239.0"	
"PAK"	"L6"	"3"	"10450.0"	"22000.0"	"2950.0"	
"PAK"	"Iron, IIE"	"1"	"380.0"	"380.0"	"380.0"	
"PAK"	"EL6"	"2"	"7286.5"	"13600.0"	"973.0"	
"PAK"	"L5"	"3"	"24526.2"	"67225.0"	"453.6"	
"PAK"	"Lodranite"	"1"	"1000.0"	"1000.0"	"1000.0"	
"PAK"	"H5"	"2"	"6450.0"	"8400.0"	"4500.0"	
"PAK"	"H6"	"2"	"468.0"	"594.0"	"342.0"	
